Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_SUR_BM04B-SURS-TF_1x04-1MP_P0.80mm_Vertical,1,Conn_01x04_Pin,C509166
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,C131334
