"Comment","Designator","Footprint","LCSC","Qty"
"Conn_01x04_Pin","J1","Connector_JST:JST_SUR_BM04B-SURS-TF_1x04-1MP_P0.80mm_Vertical","C509166","1"
"Conn_01x04_Pin","J2","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C131334","1"
