Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","Conn_01x04_Pin","JST_SUR_BM04B-SURS-TF_1x04-1MP_P0.80mm_Vertical",145.500000,-92.600000,180.000000,top
"J2","Conn_01x04_Pin","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",148.500000,-84.000000,180.000000,top
